Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Region,Hotel_Size_Category,Hotel_Type
PEARL GRAND HOTEL,"#09,EDWARD LANE,COLOMBO 03.",90,1,Colombo,Colombo,Colombo Divisional Secretariat,79.8531936,6.8961858,Western,Small,Budget
OCEAN EDGE SUITES,"24,10TH LANE,MARINE DRIVE,COLOMBO3",78,3,Colombo,Colombo,Colombo Divisional Secretariat,79.8499153,6.898455,Western,Small,Other
COCO ROYAL BEACH,"WASKADUWA, KALUTHARA NORTH",70,2,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9449985,6.6137006,Western,Small,Budget
PARADISE BEACH HOTEL,"NO:289, LEWIS PLACE,NEGOMBO",61,1,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.8386973,7.231262,Western,Small,Budget
COLOMBO COURTYARD,"435,R.A DE MEL MAWATHA,COLOMBO 03",32,3,Colombo,Colombo,Colombo Divisional Secretariat,79.8542653,6.897765,Western,Small,Other
HOTEL JANAKI,"43, FIFE ROAD, THIMBIRIGASYAYA,COLOMBO 05",43,1,Colombo,Colombo,Colombo Divisional Secretariat,79.8676014,6.8907555,Western,Small,Budget
VILLA OCEAN VIEW,"200/1, MOLLIGODAWATTA,WADDUWA",143,1,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9286243,6.6552759,Western,Medium,Other
SHANGRI- LA HOTEL COLOMBO,"NO-01, CENTRE ROAD, GALLE FACE, COLOMBO 02",541,3,Colombo,Colombo,Colombo Divisional Secretariat,79.844619,6.928216,Western,Large,Mid-range
PANDANUS BEACH RESORT & SPA,"GALLE ROAD,YALEGAMA,INDURUWA 80510",76,3,Galle,Galle,Galle Divisional Secretariat,80.0076288,6.3797342,Southern,Small,Other
JETWING LAKE,"WIJEKUMARATHUNGA MAWATHA,YAPAGAMA,DAMBULLA.",94,4,Matale,Matale,Matale Divisional Secretariat,80.6465143,7.839867,Central,Small,Other
THE LAKESIDE AT NUWARAWEWA,"NEW TOWN,ANURADHAPURA",70,2,Anuradhapura,Anuradhapura,Anuradhapura East,80.4129173,8.337355,North Central,Small,Budget
THE SANCTUARY AT TISSAWEWA,"OLD TOWN,ANURADHAPURA",22,2,Anuradhapura,Anuradhapura,Anuradhapura East,80.3879227,8.3423584,North Central,Small,Budget
OZO KANDY,"NO31,SARANANKARA ROAD,KANDY",122,3,Kandy,Kandy,Kandy Divisional Secretariat,80.6405117,7.2883697,Central,Medium,Mid-range
THE GOLDEN CROWN HOTEL,"322,UDAGAMA,AMPITIYA",63,3,Kandy,Gagawata Koralya,Gagawata,80.655418,7.277162,Central,Small,Other
GRAND UDAWALAWE SAFARI RESORT,"NO 912, THANAMALVILA ROAD,UDAWALAWA",57,4,Ratnapura,Udawalawa,Embilipitiya Divisional Secretariat,80.8040993,6.419811,Sabaragamuwa,Small,Other
LAVANGA RESORT AND SPA,"GALLE ROAD,PATHUWATHA,HIKKADUWA",20,2,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1175713,6.115437,Southern,Small,Budget
